origin,destination,count,cat,year
ae,cl,1,Pos,2018
ae,cm,29,Pos,2018
ae,cm,29,Pos,2019
ae,cm,20,Pos,2015
ae,cm,20,Pos,2017
ae,cm,13,Pos,2016
ae,cn,99,Pos,2016
ae,cn,86,Pos,2015
ae,cn,45,Pos,2019
ae,cn,26,Pos,2017
ae,cn,24,Pos,2018
ae,co,22,Pos,2016
ae,co,15,Pos,2018
ae,co,14,Pos,2017
ae,co,13,Pos,2019
ae,co,2,Pos,2015
ae,cy,14,Pos,2015
ae,cz,24,Pos,2015
ae,cz,9,Pos,2016
ae,de,15,Pos,2015
ae,dk,13,Pos,2015
ae,dz,78,Pos,2019
ae,dz,57,Pos,2017
ae,dz,55,Pos,2018
ae,dz,25,Pos,2016
ae,dz,19,Pos,2015
ae,eg,990,Pos,2016
ae,eg,920,Pos,2015
ae,eg,895,Pos,2017
ae,eg,886,Pos,2018
ae,eg,610,Pos,2019
ae,es,123,Pos,2015
ae,es,36,Pos,2016
ae,et,11,Pos,2015
ae,et,8,Pos,2019
ae,et,3,Pos,2016
ae,et,2,Pos,2017
ae,fi,7,Pos,2015
ae,fi,4,Pos,2016
ae,fr,319,Pos,2015
ae,fr,151,Pos,2016
ae,fr,97,Pos,2019
ae,fr,53,Pos,2017
ae,gb,1241,Pos,2015
ae,gb,445,Pos,2016
ae,gb,84,Pos,2017
ae,ge,5,Pos,2015
ae,gh,38,Pos,2015
ae,gh,37,Pos,2019
ae,gh,30,Pos,2017
ae,gh,29,Pos,2016
ae,gh,28,Pos,2018
ae,gr,43,Pos,2015
ae,gr,34,Pos,2016
ae,gr,9,Pos,2017
ae,hk,17,Pos,2015
ae,hr,16,Pos,2015
ae,hr,13,Pos,2016
ae,hr,4,Pos,2017
ae,hr,2,Pos,2018
ae,hu,12,Pos,2015
ae,hu,5,Pos,2016
ae,id,35,Pos,2015
ae,id,11,Pos,2016
ae,id,7,Pos,2019
ae,id,2,Pos,2018
ae,id,1,Pos,2017
ae,ie,64,Pos,2015
ae,ie,40,Pos,2016
ae,in,9175,Pos,2015
ae,in,7743,Pos,2016
ae,in,5791,Pos,2018
ae,in,5560,Pos,2019
ae,in,5455,Pos,2017
ae,iq,26,Pos,2016
ae,iq,6,Pos,2017
ae,ir,42,Pos,2019
ae,ir,1,Pos,2018
ae,it,222,Pos,2015
ae,it,94,Pos,2016
ae,it,48,Pos,2017
ae,it,17,Pos,2019
ae,it,6,Pos,2018
ae,jo,517,Pos,2016
ae,jo,493,Pos,2015
ae,jo,258,Pos,2017
ae,jo,219,Pos,2018
ae,jo,201,Pos,2019
ae,jp,3,Pos,2015
ae,jp,2,Pos,2016
ae,ke,61,Pos,2015
ae,ke,44,Pos,2016
ae,ke,44,Pos,2019
ae,ke,41,Pos,2017
ae,ke,24,Pos,2018
ae,kr,34,Pos,2015
ae,kr,3,Pos,2019
ae,kw,128,Pos,2015
ae,kw,98,Pos,2016
ae,kw,37,Pos,2017
ae,kw,11,Pos,2018
ae,kw,6,Pos,2019
ae,kz,29,Pos,2016
ae,kz,25,Pos,2015
ae,kz,23,Pos,2018
ae,kz,19,Pos,2017
ae,kz,16,Pos,2019
ae,lb,425,Pos,2015
ae,lb,248,Pos,2016
ae,lb,200,Pos,2019
ae,lb,150,Pos,2017
ae,lb,103,Pos,2018
ae,lk,137,Pos,2015
ae,lk,105,Pos,2016
ae,lk,76,Pos,2019
ae,lk,46,Pos,2018
ae,lk,39,Pos,2017
ae,lu,4,Pos,2015
ae,lu,0,Pos,2016
ae,ly,20,Pos,2015
ae,ly,12,Pos,2016
ae,ly,0,Pos,2017
ae,ma,86,Pos,2016
ae,ma,82,Pos,2018
ae,ma,81,Pos,2017
ae,ma,76,Pos,2015
ae,ma,65,Pos,2019
ae,mk,17,Pos,2015
ae,mk,16,Pos,2016
ae,mk,3,Pos,2019
ae,mk,2,Pos,2018
ae,mt,3,Pos,2015
ae,mt,1,Pos,2016
ae,mu,11,Pos,2015
ae,mu,10,Pos,2016
ae,mu,6,Pos,2018
ae,mu,4,Pos,2017
ae,mx,19,Pos,2019
ae,mx,12,Pos,2015
ae,mx,9,Pos,2016
ae,mx,7,Pos,2018
ae,mx,5,Pos,2017
ae,my,77,Pos,2016
ae,my,74,Pos,2015
ae,my,34,Pos,2017
ae,my,29,Pos,2018
ae,my,29,Pos,2019
ae,ng,263,Pos,2019
ae,ng,167,Pos,2018
ae,ng,143,Pos,2017
ae,ng,142,Pos,2016
ae,ng,136,Pos,2015
ae,nl,102,Pos,2015
ae,no,14,Pos,2015
ae,no,3,Pos,2016
ae,np,28,Pos,2016
ae,np,22,Pos,2015
ae,om,211,Pos,2015
ae,om,171,Pos,2016
ae,om,118,Pos,2017
ae,om,71,Pos,2018
ae,om,43,Pos,2019
ae,ph,1207,Pos,2016
ae,ph,1091,Pos,2015
ae,ph,893,Pos,2017
ae,ph,756,Pos,2018
ae,ph,598,Pos,2019
ae,pk,2363,Pos,2015
ae,pk,1744,Pos,2016
ae,pk,798,Pos,2019
ae,pk,756,Pos,2017
ae,pk,596,Pos,2018
ae,pl,54,Pos,2015
ae,pl,26,Pos,2016
ae,pl,14,Pos,2017
ae,pl,1,Pos,2019
ae,ps,79,Pos,2015
ae,ps,60,Pos,2016
ae,ps,53,Pos,2019
ae,ps,47,Pos,2018
ae,ps,41,Pos,2017
ae,pt,57,Pos,2015
ae,pt,16,Pos,2016
ae,pt,2,Pos,2017
ae,qa,272,Pos,2016
ae,qa,256,Pos,2017
ae,qa,238,Pos,2015
ae,qa,79,Pos,2018
ae,ro,215,Pos,2015
ae,ro,71,Pos,2016
ae,ro,10,Pos,2017
ae,ro,7,Pos,2018
ae,rs,66,Pos,2015
ae,rs,56,Pos,2016
ae,rs,38,Pos,2018
ae,rs,20,Pos,2017
ae,rs,7,Pos,2019
ae,sa,558,Pos,2018
ae,sa,488,Pos,2017
ae,sa,415,Pos,2016
ae,sa,310,Pos,2019
ae,sa,244,Pos,2015
