origin,destination,count
bd,de,-0,81
bd,hk,0,12
bd,in,0,41
bd,it,0,11
bd,jp,0,31
bd,kr,-0,13
bd,my,-0,63
bd,nl,-0,08
bd,nz,-0,45
bd,no,0,41
bd,qa,-0,28
bd,sa,0,25
bd,sg,-0,32
bd,lk,0,04
bd,se,-0,13
bd,th,0,04
bd,tr,0,06
bd,ae,0,48
bd,gb,1,03
bd,us,9,71
be,al,0,04
be,dz,-0,06
be,ar,0,02
be,au,-0,25
be,at,0,13
be,bj,0,08
be,br,0,38
be,bg,0,16
be,cm,0,06
be,ca,-0,27
be,cl,-0,03
be,cn,0
be,co,-0,06
be,cd,-0,32
be,ci,0,03
be,hr,0,19
be,cy,-0,01
be,cz,0,02
be,dk,0,13
be,eg,0,05
be,ee,-0,01
be,fi,0,02
be,fr,4,3
be,de,-0,85
be,gr,0,48
be,hk,-0,1
be,hu,0,23
be,in,0,68
be,id,0,01
be,ir,0,05
be,ie,-0,25
be,il,-0,04
be,it,1,76
be,jp,-0,08
be,ke,-0,02
be,kr,-0,04
be,lv,-0,01
be,lb,0,09
be,lt,-0,04
be,lu,-2,99
be,my,0,02
be,mt,0
be,mx,0,06
be,ma,0,05
be,nl,2,06
be,nz,-0,07
be,no,-0,1
be,pk,0,08
be,pe,0,02
be,ph,0,04
be,pl,0,06
be,pt,0,53
be,qa,-0,07
be,ro,0,73
be,sa,0,01
be,sn,0,02
be,rs,0,1
be,sg,-0,2
be,sk,0,04
be,si,0,07
be,za,-0,04
be,es,0,3
be,se,-0,12
be,ch,-0,83
be,tw,0,05
be,th,-0,09
be,tn,0,04
be,tr,0,18
be,ua,0,21
be,ae,-0,49
be,gb,-1,51
be,us,1,02
be,vn,-0,04
bf,ca,1,84
bf,ci,-1,46
bf,fr,6,51
bf,sn,0,78
bf,us,7,48
bg,au,-0,62
bg,at,-1,03
bg,be,-0,81
bg,ca,-0,14
bg,cn,-0,23
bg,cz,-0,35
bg,dk,-1,16
bg,fr,-0,87
bg,de,-6,21
bg,gr,0,35
bg,in,-1,03
bg,ie,-1,03
bg,it,0,56
bg,nl,-1,14
bg,no,-0,25
bg,pl,-0,43
bg,ro,-0,29
bg,es,-0,68
bg,se,-0,54
bg,ch,-0,81
bg,tr,-0,81
bg,ua,0,87
bg,ae,-0,83
bg,gb,-12,99
bg,us,4,65
bh,au,-1,11
bh,ca,-1,26
bh,eg,3,23
bh,fr,0,5
bh,in,36,85
bh,jo,1,06
bh,kw,-0,76
bh,lb,0,3
bh,my,0
bh,om,0
bh,pk,8,88
bh,ph,3,08
bh,qa,-3,13
bh,sa,-5
bh,za,0,61
bh,ae,-10,95
bh,gb,5,35
bh,us,9,29
bj,be,-1,45
bj,ca,-4,42
bj,ci,-2,21
bj,fr,-11,5
bj,ng,0,15
bj,sn,-1,6
bj,us,13,02
bo,ar,0,42
bo,br,0,21
bo,ca,0,21
bo,cl,-0,24
bo,co,0,1
bo,fr,0,16
bo,mx,-0,05
bo,pe,-0,03
bo,es,2,91
bo,us,1,99
br,af,-0,03
br,al,-0,01
br,ao,-0,08
br,ar,-0,04
br,au,-0,42
br,at,-0,02
br,be,-0,04
br,bo,0
br,ca,-0,59
br,cl,-0,11
br,cn,-0,01
br,co,-0,06
br,cr,-0,01
br,cz,0
br,dk,-0,03
br,do,-0,01
br,ec,-0,01
br,fi,-0,01
br,fr,-0,04
br,de,-0,32
br,hk,-0,01
br,hu,0,03
br,in,0,02
br,id,-0,01
br,ie,-0,63
br,il,-0,03
br,it,-0,1
br,jp,0,02
br,kr,0
br,lu,-0,01
br,my,0
br,mt,0
br,mx,-0,11
br,mz,0
br,nl,-0,1
br,nz,-0,1
br,no,0
br,pa,-0,04
br,py,-0,02
br,pe,-0,05
br,ph,0
br,pl,-0,03
br,pt,-0,51
br,qa,-0,01
br,sa,-0,01
br,sg,-0,04
br,za,-0,01
br,es,-0,23
br,se,-0,06
br,ch,-0,11
br,th,-0,01
br,tr,-0,01
br,ae,-0,09
br,gb,-0,37
br,us,4,63
br,uy,-0,02
br,ve,0,04
bs,ca,-0,33
bs,gb,2,95
bs,us,10,71
bw,in,2,03
bw,za,6,08
bw,gb,15,88
bw,us,11,83
bw,zw,-0,92
by,ca,-0,42
by,cn,-0,14
by,cz,0
by,de,-3,17
by,it,-0,67
by,lt,-0,99
by,pl,-3,2
by,tr,-0,18
by,ua,3,8
by,ae,-1,02
by,gb,-1,3
by,us,-1,3
ca,af,0,02
ca,al,0,02
ca,dz,0,22
ca,ao,-0,01
ca,ar,0,01
ca,am,0,02
ca,au,-0,09
ca,at,-0,04
ca,az,0,03
ca,bs,0
ca,bh,0,02
