origin,destination,count,cat
af,fr,274,Pos
es,ve,274,Pos
et,in,271,Pos
mm,ae,270,Pos
af,it,269,Pos
ie,es,269,Pos
mt,se,266,Pos
pa,br,266,Pos
mm,ph,265,Pos
sa,sd,265,Pos
af,cn,263,Pos
qa,es,260,Pos
py,br,257,Pos
sg,gb,257,Pos
lv,ua,255,Pos
gh,eg,254,Pos
iq,gb,252,Pos
kh,au,252,Pos
pl,us,252,Pos
at,us,249,Pos
qa,za,249,Pos
py,ar,248,Pos
de,gb,247,Pos
ae,za,245,Pos
se,in,245,Pos
ae,sa,244,Pos
mm,au,244,Pos
mm,my,244,Pos
no,us,244,Pos
ng,is,242,Pos
na,zw,240,Pos
mw,za,239,Pos
ae,qa,238,Pos
ie,hr,234,Pos
zm,ke,230,Pos
mt,nl,226,Pos
cy,ua,224,Pos
ae,it,222,Pos
ch,nl,222,Pos
de,es,221,Pos
hu,ro,221,Pos
gb,it,219,Pos
lu,hu,219,Pos
af,au,218,Pos
vn,us,218,Pos
ae,ro,215,Pos
mx,es,213,Pos
ae,om,211,Pos
dk,us,210,Pos
lk,in,209,Pos
qa,fr,209,Pos
sg,cn,207,Pos
be,nl,206,Pos
bw,in,203,Pos
mz,zw,203,Pos
ug,gb,203,Pos
ni,es,202,Pos
sa,lb,201,Pos
ar,ve,199,Pos
at,sk,199,Pos
bo,us,199,Pos
hk,ng,198,Pos
ph,us,198,Pos
iq,in,197,Pos
ar,us,196,Pos
ug,in,195,Pos
ch,pt,193,Pos
pg,nz,193,Pos
kh,my,192,Pos
nz,sg,185,Pos
bf,ca,184,Pos
py,es,184,Pos
iq,my,183,Pos
ke,in,183,Pos
mm,jp,182,Pos
kh,th,181,Pos
tz,no,181,Pos
ca,ir,180,Pos
th,in,180,Pos
kw,lb,178,Pos
nl,in,178,Pos
ao,in,176,Pos
be,it,176,Pos
cm,gb,176,Pos
ht,fr,176,Pos
sg,us,176,Pos
zm,na,176,Pos
dz,us,174,Pos
hn,es,174,Pos
iq,af,174,Pos
mw,in,174,Pos
ch,pl,173,Pos
lu,fi,173,Pos
jp,fr,171,Pos
lt,ua,171,Pos
kw,ph,170,Pos
mt,hu,170,Pos
qa,kw,170,Pos
mn,gb,169,Pos
sn,us,169,Pos
tn,us,169,Pos
at,si,168,Pos
ee,lv,168,Pos
pe,es,168,Pos
dk,se,167,Pos
nz,br,167,Pos
lu,br,166,Pos
ch,gb,165,Pos
sd,my,163,Pos
pa,ar,161,Pos
ci,gb,160,Pos
de,br,159,Pos
lv,dk,159,Pos
np,gb,159,Pos
ci,gh,158,Pos
hk,tw,157,Pos
qa,ro,157,Pos
ng,in,156,Pos
de,ro,155,Pos
qa,id,155,Pos
kz,ua,154,Pos
at,fr,153,Pos
hu,in,153,Pos
kh,in,153,Pos
mt,ph,153,Pos
mt,tr,153,Pos
iq,sy,151,Pos
pg,in,150,Pos
at,rs,149,Pos
ir,my,149,Pos
th,gb,149,Pos
ch,br,148,Pos
cr,es,148,Pos
ke,za,148,Pos
ae,sg,147,Pos
cl,ar,147,Pos
dk,in,147,Pos
jp,gb,147,Pos
qa,gr,146,Pos
qa,ma,146,Pos
de,nl,145,Pos
ec,es,145,Pos
cl,es,144,Pos
gb,fr,144,Pos
is,dk,144,Pos
it,us,144,Pos
vn,fr,143,Pos
mz,in,142,Pos
at,ro,141,Pos
at,hr,140,Pos
at,es,140,Pos
cd,ug,140,Pos
ae,ua,139,Pos
ae,lk,137,Pos
ae,ng,136,Pos
ca,fr,136,Pos
cz,it,136,Pos
hr,ba,136,Pos
iq,ae,136,Pos
qa,bh,135,Pos
af,nl,134,Pos
lt,in,133,Pos
mu,in,133,Pos
uy,cu,133,Pos
es,it,132,Pos
pe,ve,132,Pos
rw,ug,132,Pos
vn,gb,132,Pos
au,za,131,Pos
ie,ro,131,Pos
qa,it,131,Pos
au,br,130,Pos
au,pk,130,Pos
iq,pk,130,Pos
ch,in,129,Pos
gb,ro,129,Pos
kw,jo,129,Pos
ae,kw,128,Pos
az,cn,127,Pos
ch,be,127,Pos
hk,ca,127,Pos
gh,gb,126,Pos
lu,ca,126,Pos
lu,ie,126,Pos
sg,kr,126,Pos
de,tr,125,Pos
il,ua,125,Pos
iq,eg,125,Pos
de,ua,124,Pos
ge,tr,124,Pos
lb,sy,124,Pos
ae,es,123,Pos
au,cn,123,Pos
cm,za,122,Pos
dk,it,122,Pos
ee,fr,122,Pos
et,tr,122,Pos
il,fr,122,Pos
qa,tr,122,Pos
mn,au,121,Pos
pa,ca,121,Pos
sd,eg,121,Pos
kh,kr,120,Pos
mu,my,120,Pos
ae,tr,117,Pos
ge,ua,117,Pos
lt,by,117,Pos
at,in,116,Pos
at,ua,116,Pos
ch,at,116,Pos
nz,fr,116,Pos
sn,it,116,Pos
sg,hk,115,Pos
ug,za,115,Pos
ca,br,114,Pos
gt,ve,114,Pos
at,ir,113,Pos
co,es,113,Pos
de,pl,113,Pos
lu,cz,113,Pos
sa,my,113,Pos
se,fi,113,Pos
dk,ir,112,Pos
se,gb,112,Pos
tz,za,110,Pos
uy,es,110,Pos
cz,in,109,Pos
mm,id,109,Pos
ch,gr,108,Pos
gb,es,108,Pos
lk,gb,108,Pos
sd,in,108,Pos
hu,ua,107,Pos
nl,it,107,Pos
bh,jo,106,Pos
fr,tn,106,Pos
lu,se,106,Pos
ht,do,105,Pos
se,it,105,Pos
at,ba,104,Pos
gh,in,104,Pos
ng,pl,104,Pos
za,no,104,Pos
bd,gb,103,Pos
is,gb,103,Pos
om,eg,103,Pos
ae,nl,102,Pos
be,us,102,Pos
et,nl,102,Pos
gb,pt,102,Pos
ae,sy,101,Pos
ch,hu,101,Pos
kr,in,101,Pos
mx,ve,101,Pos
sv,es,101,Pos
gt,es,100,Pos
ie,pt,100,Pos
pa,do,100,Pos
au,ir,99,Pos
om,tr,99,Pos
vn,in,99,Pos
ni,cr,98,Pos
au,ph,97,Pos
mt,fr,97,Pos
sa,au,97,Pos
sa,za,97,Pos
ca,cn,96,Pos
ci,in,96,Pos
ci,sn,96,Pos
cm,in,96,Pos
qa,dz,96,Pos
qa,ng,96,Pos
si,rs,96,Pos
nz,my,95,Pos
ug,no,95,Pos
et,no,94,Pos
no,gb,94,Pos
de,hu,93,Pos
ec,co,93,Pos
ie,nl,93,Pos
ni,gt,93,Pos
zm,au,93,Pos
de,hr,92,Pos
hu,rs,92,Pos
pa,it,92,Pos
ps,gb,92,Pos
de,cn,91,Pos
sg,jp,91,Pos
ae,bh,90,Pos
ci,ma,90,Pos
cz,ua,90,Pos
pl,it,90,Pos
se,fr,90,Pos
uy,br,89,Pos
au,lk,88,Pos
ca,pk,88,Pos
cn,gb,88,Pos
ir,nl,88,Pos
kh,ca,88,Pos
bg,ua,87,Pos
tt,gb,87,Pos
ae,cn,86,Pos
et,cn,86,Pos
sa,es,86,Pos
se,gr,86,Pos
th,cn,86,Pos
ci,bj,85,Pos
af,es,84,Pos
af,tr,84,Pos
de,gr,84,Pos
ee,it,84,Pos
om,jo,84,Pos
ca,ph,83,Pos
cz,fr,83,Pos
no,pl,83,Pos
qa,my,83,Pos
ch,ca,82,Pos
cl,br,82,Pos
hu,it,82,Pos
kh,nl,82,Pos
ae,br,81,Pos
ca,us,81,Pos
dk,ro,81,Pos
jo,ps,81,Pos
nz,ar,81,Pos
om,gb,81,Pos
ae,ch,80,Pos
au,gb,80,Pos
nz,au,80,Pos
tt,jm,80,Pos
ae,ps,79,Pos
fr,it,79,Pos
nz,lk,79,Pos
qa,rs,79,Pos
sg,tw,79,Pos
bf,sn,78,Pos
gb,gr,77,Pos
kh,cn,77,Pos
kz,cn,77,Pos
pa,sv,77,Pos
ro,md,77,Pos
ae,ma,76,Pos
id,ca,76,Pos
pr,es,75,Pos
rs,ba,75,Pos
vn,cn,75,Pos
ae,my,74,Pos
at,bg,74,Pos
fr,ma,74,Pos
se,es,74,Pos
sn,bj,74,Pos
sy,eg,74,Pos
tw,in,74,Pos
at,gr,73,Pos
at,pl,73,Pos
be,ro,73,Pos
de,pk,73,Pos
kz,in,73,Pos
hk,za,72,Pos
jo,eg,72,Pos
ao,cn,71,Pos
ao,ng,71,Pos
dk,es,71,Pos
pa,fr,71,Pos
ch,cn,70,Pos
kw,tr,70,Pos
om,lb,70,Pos
om,ph,70,Pos
qa,pt,70,Pos
zw,zm,70,Pos
ae,sd,69,Pos
de,eg,69,Pos
ee,dk,69,Pos
gh,fr,69,Pos
no,dk,69,Pos
be,in,68,Pos
es,br,68,Pos
hk,kr,68,Pos
qa,ua,68,Pos
ug,cn,68,Pos
ye,my,68,Pos
jo,gb,67,Pos
no,au,67,Pos
ae,rs,66,Pos
ca,ng,66,Pos
de,au,66,Pos
de,bg,66,Pos
pt,us,66,Pos
th,fr,66,Pos
at,br,65,Pos
ch,cz,65,Pos
dk,cn,65,Pos
mg,mu,65,Pos
pl,fr,65,Pos
qa,bd,65,Pos
qa,sd,65,Pos
us,in,65,Pos
ae,ie,64,Pos
cr,ar,64,Pos
de,mx,64,Pos
dk,au,64,Pos
my,ph,64,Pos
