origin,destination,count,cat
ca,it,15,Pos
ca,tr,15,Pos
cl,pa,15,Pos
de,am,15,Pos
dk,ca,15,Pos
dk,my,15,Pos
dk,mx,15,Pos
dk,pl,15,Pos
ee,be,15,Pos
ee,de,15,Pos
fr,bj,15,Pos
hk,ie,15,Pos
ir,sg,15,Pos
jp,be,15,Pos
np,th,15,Pos
nz,hk,15,Pos
nz,hu,15,Pos
pe,mx,15,Pos
qa,de,15,Pos
se,ir,15,Pos
tr,ua,15,Pos
tt,ca,15,Pos
ug,tz,15,Pos
ae,cy,14,Pos
ae,no,14,Pos
au,ca,14,Pos
au,th,14,Pos
au,ve,14,Pos
ch,dk,14,Pos
ch,tr,14,Pos
de,at,14,Pos
de,lv,14,Pos
de,md,14,Pos
de,ph,14,Pos
ec,ch,14,Pos
id,my,14,Pos
ie,fi,14,Pos
ie,no,14,Pos
ie,pk,14,Pos
jp,tw,14,Pos
my,nl,14,Pos
pl,eg,14,Pos
ro,ua,14,Pos
sa,cn,14,Pos
sa,pt,14,Pos
us,pr,14,Pos
vn,hk,14,Pos
vn,ae,14,Pos
ae,dk,13,Pos
ao,ae,13,Pos
ar,es,13,Pos
au,nl,13,Pos
be,at,13,Pos
be,dk,13,Pos
cl,in,13,Pos
co,it,13,Pos
cz,fi,13,Pos
de,cl,13,Pos
de,sg,13,Pos
dk,id,13,Pos
dk,th,13,Pos
eg,cn,13,Pos
es,ua,13,Pos
gb,cz,13,Pos
kz,az,13,Pos
nl,cz,13,Pos
nl,mx,13,Pos
nl,za,13,Pos
no,hu,13,Pos
no,is,13,Pos
nz,be,13,Pos
nz,jp,13,Pos
nz,tr,13,Pos
nz,vn,13,Pos
sa,dz,13,Pos
se,be,13,Pos
se,hr,13,Pos
se,ie,13,Pos
tr,in,13,Pos
tz,fr,13,Pos
tz,de,13,Pos
zw,ke,13,Pos
ae,by,12,Pos
ae,hu,12,Pos
ae,mx,12,Pos
ae,th,12,Pos
bd,hk,12,Pos
ca,cm,12,Pos
ca,ie,12,Pos
ca,kw,12,Pos
ca,ro,12,Pos
ch,lv,12,Pos
ch,mx,12,Pos
ch,nz,12,Pos
ch,si,12,Pos
cr,hn,12,Pos
cr,nl,12,Pos
cz,br,12,Pos
de,jp,12,Pos
de,ma,12,Pos
et,it,12,Pos
et,ke,12,Pos
fr,us,12,Pos
it,tr,12,Pos
it,ve,12,Pos
jo,es,12,Pos
ke,rw,12,Pos
kr,bd,12,Pos
lb,gb,12,Pos
no,at,12,Pos
nz,qa,12,Pos
nz,th,12,Pos
pl,bg,12,Pos
ro,gr,12,Pos
sa,om,12,Pos
sa,pl,12,Pos
se,cz,12,Pos
se,jp,12,Pos
se,kr,12,Pos
se,lb,12,Pos
sg,om,12,Pos
sk,it,12,Pos
tr,jo,12,Pos
ae,at,11,Pos
ae,et,11,Pos
ae,mu,11,Pos
ae,ve,11,Pos
au,vn,11,Pos
bd,it,11,Pos
ch,vn,11,Pos
cn,in,11,Pos
cn,it,11,Pos
cn,kr,11,Pos
cn,pk,11,Pos
fr,ar,11,Pos
gr,ua,11,Pos
kz,tr,11,Pos
ml,sn,11,Pos
ng,ua,11,Pos
nl,ar,11,Pos
om,lk,11,Pos
pe,cl,11,Pos
pe,it,11,Pos
ph,id,11,Pos
pl,hr,11,Pos
sa,br,11,Pos
se,bg,11,Pos
th,nl,11,Pos
tr,lb,11,Pos
tw,kr,11,Pos
uy,fr,11,Pos
ae,am,10,Pos
al,fr,10,Pos
at,ar,10,Pos
au,lb,10,Pos
au,mx,10,Pos
au,ua,10,Pos
be,rs,10,Pos
bo,co,10,Pos
ca,my,10,Pos
ch,lt,10,Pos
cm,ga,10,Pos
cr,pe,10,Pos
cz,hr,10,Pos
de,ie,10,Pos
de,se,10,Pos
eg,gb,10,Pos
es,tr,10,Pos
fi,pl,10,Pos
fr,gr,10,Pos
fr,ua,10,Pos
gb,mx,10,Pos
gb,ve,10,Pos
gh,it,10,Pos
gh,lb,10,Pos
hk,ph,10,Pos
ie,il,10,Pos
il,at,10,Pos
jp,nl,10,Pos
kr,ir,10,Pos
kr,ng,10,Pos
lb,eg,10,Pos
lv,be,10,Pos
ma,it,10,Pos
ng,lb,10,Pos
nl,eg,10,Pos
nl,fi,10,Pos
nl,rs,10,Pos
no,mx,10,Pos
no,ch,10,Pos
ph,kr,10,Pos
pk,gb,10,Pos
th,tr,10,Pos
vn,th,10,Pos
bd,fr,9,Pos
be,lb,9,Pos
ca,co,9,Pos
ca,gh,9,Pos
ca,np,9,Pos
ca,ve,9,Pos
ca,vn,9,Pos
ch,ng,9,Pos
ch,se,9,Pos
es,hu,9,Pos
fr,br,9,Pos
fr,ve,9,Pos
gb,ua,9,Pos
hk,tr,9,Pos
ie,dk,9,Pos
ie,kr,9,Pos
il,be,9,Pos
iq,qa,9,Pos
ke,sa,9,Pos
ke,ch,9,Pos
kr,be,9,Pos
kz,au,9,Pos
kz,my,9,Pos
kz,uz,9,Pos
ma,es,9,Pos
ng,nl,9,Pos
nl,bg,9,Pos
nl,il,9,Pos
no,bg,9,Pos
pe,ec,9,Pos
pl,kr,9,Pos
sa,jp,9,Pos
sa,nz,9,Pos
sk,ca,9,Pos
tr,bg,9,Pos
tr,ma,9,Pos
ua,md,9,Pos
au,be,8,Pos
au,kr,8,Pos
au,om,8,Pos
au,pt,8,Pos
be,bj,8,Pos
be,pk,8,Pos
ca,qa,8,Pos
ca,rs,8,Pos
cl,do,8,Pos
cl,ec,8,Pos
cz,no,8,Pos
de,ng,8,Pos
de,sa,8,Pos
de,tw,8,Pos
eg,dz,8,Pos
eg,no,8,Pos
eg,ch,8,Pos
gb,il,8,Pos
ie,sk,8,Pos
in,pl,8,Pos
it,ua,8,Pos
jp,pl,8,Pos
kw,om,8,Pos
kw,pk,8,Pos
lt,ie,8,Pos
mx,co,8,Pos
nl,sy,8,Pos
no,ua,8,Pos
pa,pe,8,Pos
ph,no,8,Pos
pl,lt,8,Pos
ro,bg,8,Pos
se,id,8,Pos
se,il,8,Pos
se,za,8,Pos
tz,cn,8,Pos
uy,pe,8,Pos
vn,be,8,Pos
za,pl,8,Pos
ae,fi,7,Pos
at,cn,7,Pos
au,gr,7,Pos
au,ro,7,Pos
be,si,7,Pos
ca,gr,7,Pos
ca,om,7,Pos
ca,lk,7,Pos
ch,th,7,Pos
cn,ua,7,Pos
de,cy,7,Pos
de,lt,7,Pos
dk,za,7,Pos
eg,in,7,Pos
es,pl,7,Pos
fr,tr,7,Pos
gb,id,7,Pos
gb,lt,7,Pos
hk,il,7,Pos
hk,my,7,Pos
id,no,7,Pos
id,tw,7,Pos
jo,sy,7,Pos
mx,ca,7,Pos
my,es,7,Pos
nl,hr,7,Pos
nl,mk,7,Pos
nl,ve,7,Pos
nz,cl,7,Pos
pk,in,7,Pos
pl,mx,7,Pos
pt,za,7,Pos
pt,tr,7,Pos
sa,mx,7,Pos
sa,ma,7,Pos
sa,th,7,Pos
se,ph,7,Pos
sg,cz,7,Pos
sg,tr,7,Pos
sn,ch,7,Pos
tr,ly,7,Pos
tr,my,7,Pos
tr,tn,7,Pos
au,at,6,Pos
au,cz,6,Pos
au,pe,6,Pos
au,zw,6,Pos
bd,tr,6,Pos
be,cm,6,Pos
be,mx,6,Pos
be,pl,6,Pos
ca,be,6,Pos
ca,jo,6,Pos
ca,md,6,Pos
ch,cl,6,Pos
ch,tw,6,Pos
cl,fr,6,Pos
cl,it,6,Pos
cm,fr,6,Pos
co,in,6,Pos
de,nz,6,Pos
dk,ph,6,Pos
ec,au,6,Pos
es,ca,6,Pos
fi,hu,6,Pos
gb,fi,6,Pos
gb,ph,6,Pos
gb,tr,6,Pos
id,ng,6,Pos
il,cn,6,Pos
in,is,6,Pos
in,no,6,Pos
it,pk,6,Pos
it,rs,6,Pos
jp,fi,6,Pos
jp,hu,6,Pos
my,dz,6,Pos
nl,kr,6,Pos
nz,tw,6,Pos
sa,kr,6,Pos
se,bd,6,Pos
se,ca,6,Pos
se,co,6,Pos
se,iq,6,Pos
th,pl,6,Pos
tr,pk,6,Pos
tw,za,6,Pos
uy,mx,6,Pos
za,kw,6,Pos
ae,ge,5,Pos
al,gr,5,Pos
ar,cn,5,Pos
au,hr,5,Pos
au,gh,5,Pos
au,il,5,Pos
au,jo,5,Pos
au,ke,5,Pos
au,rs,5,Pos
au,sk,5,Pos
be,eg,5,Pos
be,ir,5,Pos
be,ma,5,Pos
be,tw,5,Pos
ca,bj,5,Pos
ca,ke,5,Pos
ca,mu,5,Pos
ca,sy,5,Pos
cl,au,5,Pos
cl,ca,5,Pos
cl,cn,5,Pos
cl,uy,5,Pos
cr,gt,5,Pos
de,gh,5,Pos
de,ir,5,Pos
de,iq,5,Pos
de,kw,5,Pos
de,no,5,Pos
de,pe,5,Pos
de,vn,5,Pos
dk,jp,5,Pos
dk,sg,5,Pos
ec,it,5,Pos
fi,mx,5,Pos
gb,ar,5,Pos
gb,hr,5,Pos
gb,md,5,Pos
gb,si,5,Pos
id,hk,5,Pos
ir,no,5,Pos
ir,ch,5,Pos
ke,se,5,Pos
ma,dz,5,Pos
mx,it,5,Pos
ng,it,5,Pos
ng,ph,5,Pos
nl,lb,5,Pos
pa,mx,5,Pos
pl,sk,5,Pos
pt,ro,5,Pos
se,pl,5,Pos
se,vn,5,Pos
sg,hu,5,Pos
tr,ba,5,Pos
tr,br,5,Pos
tr,iq,5,Pos
ae,lu,4,Pos
ae,sk,4,Pos
ae,tz,4,Pos
ar,in,4,Pos
at,sg,4,Pos
au,bg,4,Pos
au,ee,4,Pos
au,hu,4,Pos
au,iq,4,Pos
au,kw,4,Pos
au,qa,4,Pos
au,tw,4,Pos
bd,lk,4,Pos
bd,th,4,Pos
be,al,4,Pos
be,ph,4,Pos
be,sk,4,Pos
be,tn,4,Pos
br,ve,4,Pos
ca,ci,4,Pos
ca,do,4,Pos
ca,iq,4,Pos
ca,sn,4,Pos
ch,al,4,Pos
ch,id,4,Pos
cl,pt,4,Pos
cn,ng,4,Pos
cn,za,4,Pos
co,kr,4,Pos
de,cm,4,Pos
de,lk,4,Pos
dk,nz,4,Pos
es,bg,4,Pos
es,za,4,Pos
fi,fr,4,Pos
fi,hk,4,Pos
fr,bg,4,Pos
fr,md,4,Pos
fr,rs,4,Pos
fr,sy,4,Pos
gh,tg,4,Pos
hk,at,4,Pos
id,fr,4,Pos
in,fi,4,Pos
it,eg,4,Pos
jp,au,4,Pos
ke,be,4,Pos
ma,eg,4,Pos
mx,cr,4,Pos
my,cn,4,Pos
ng,ug,4,Pos
no,fi,4,Pos
no,nz,4,Pos
om,iq,4,Pos
ph,za,4,Pos
se,ee,4,Pos
se,nz,4,Pos
sg,qa,4,Pos
tr,uz,4,Pos
tw,my,4,Pos
tw,es,4,Pos
us,kr,4,Pos
us,tw,4,Pos
us,ua,4,Pos
za,br,4,Pos
za,it,4,Pos
ae,jp,3,Pos
ae,mt,3,Pos
at,dk,3,Pos
au,bh,3,Pos
be,ci,3,Pos
br,hu,3,Pos
ca,az,3,Pos
ca,hr,3,Pos
ca,ht,3,Pos
ca,kz,3,Pos
ca,tw,3,Pos
ch,co,3,Pos
ch,lb,3,Pos
ch,my,3,Pos
cl,bo,3,Pos
cm,sn,3,Pos
cn,bd,3,Pos
co,be,3,Pos
cr,ch,3,Pos
de,cr,3,Pos
de,kz,3,Pos
de,ke,3,Pos
de,ps,3,Pos
dk,cl,3,Pos
dk,hk,3,Pos
dz,es,3,Pos
eg,ye,3,Pos
es,eg,3,Pos
es,gr,3,Pos
es,is,3,Pos
es,ir,3,Pos
es,pk,3,Pos
fr,eg,3,Pos
fr,mx,3,Pos
fr,pk,3,Pos
gb,lv,3,Pos
gb,pe,3,Pos
gr,hu,3,Pos
hu,pl,3,Pos
id,br,3,Pos
id,jp,3,Pos
id,kr,3,Pos
id,th,3,Pos
ie,tw,3,Pos
it,ar,3,Pos
it,gr,3,Pos
it,md,3,Pos
ma,cn,3,Pos
ma,nl,3,Pos
mx,gt,3,Pos
mx,ph,3,Pos
mx,sg,3,Pos
my,om,3,Pos
nl,ca,3,Pos
nl,cl,3,Pos
nl,lt,3,Pos
nl,pe,3,Pos
nl,si,3,Pos
nl,tw,3,Pos
nz,ie,3,Pos
pa,de,3,Pos
ph,it,3,Pos
pk,hk,3,Pos
pl,sg,3,Pos
pt,cn,3,Pos
pt,hu,3,Pos
pt,mx,3,Pos
se,sg,3,Pos
se,sk,3,Pos
th,pk,3,Pos
tr,sk,3,Pos
vn,it,3,Pos
za,eg,3,Pos
za,id,3,Pos
ae,cl,2,Pos
ae,co,2,Pos
au,cy,2,Pos
au,lt,2,Pos
au,mu,2,Pos
be,ar,2,Pos
be,cz,2,Pos
be,fi,2,Pos
be,my,2,Pos
be,pe,2,Pos
be,sn,2,Pos
br,in,2,Pos
br,jp,2,Pos
ca,af,2,Pos
ca,al,2,Pos
ca,am,2,Pos
ca,bh,2,Pos
ca,cy,2,Pos
ca,sv,2,Pos
ca,et,2,Pos
ca,hu,2,Pos
ca,ly,2,Pos
ca,no,2,Pos
ca,pl,2,Pos
ca,pt,2,Pos
ca,th,2,Pos
ca,ug,2,Pos
ca,zw,2,Pos
ch,jo,2,Pos
ch,ph,2,Pos
cl,be,2,Pos
cn,br,2,Pos
cn,ir,2,Pos
cn,mx,2,Pos
cn,nl,2,Pos
cn,rs,2,Pos
cn,ve,2,Pos
co,do,2,Pos
co,ie,2,Pos
cr,ec,2,Pos
de,az,2,Pos
de,dk,2,Pos
de,ge,2,Pos
de,is,2,Pos
de,mt,2,Pos
eg,ua,2,Pos
es,hr,2,Pos
es,lv,2,Pos
es,lb,2,Pos
es,lt,2,Pos
es,tn,2,Pos
fr,co,2,Pos
fr,hr,2,Pos
fr,do,2,Pos
fr,hu,2,Pos
fr,tg,2,Pos
gb,al,2,Pos
gb,by,2,Pos
gb,jm,2,Pos
gb,kr,2,Pos
gb,mk,2,Pos
gb,sk,2,Pos
hk,th,2,Pos
in,bg,2,Pos
ir,am,2,Pos
it,by,2,Pos
it,hr,2,Pos
jp,eg,2,Pos
jp,lk,2,Pos
ke,es,2,Pos
mx,cl,2,Pos
mx,cu,2,Pos
mx,sv,2,Pos
my,eg,2,Pos
nl,bd,2,Pos
nl,ph,2,Pos
nl,sk,2,Pos
pe,cn,2,Pos
ph,br,2,Pos
ph,cn,2,Pos
pk,jp,2,Pos
qa,ch,2,Pos
se,is,2,Pos
se,my,2,Pos
sg,kh,2,Pos
sg,il,2,Pos
sg,lu,2,Pos
sg,pt,2,Pos
th,za,2,Pos
th,tw,2,Pos
tr,id,2,Pos
tr,kr,2,Pos
us,af,2,Pos
us,ve,2,Pos
uy,gb,2,Pos
vn,es,2,Pos
za,be,2,Pos
za,my,2,Pos
at,jp,1,Pos
at,nz,1,Pos
be,id,1,Pos
be,sa,1,Pos
ca,ar,1,Pos
ca,by,1,Pos
ca,bg,1,Pos
ca,cd,1,Pos
ca,cu,1,Pos
ca,cz,1,Pos
ca,hn,1,Pos
ca,is,1,Pos
ca,lt,1,Pos
ca,mg,1,Pos
ca,ni,1,Pos
ca,pe,1,Pos
ca,rw,1,Pos
ca,tz,1,Pos
ch,il,1,Pos
cl,ie,1,Pos
cn,bg,1,Pos
cn,cm,1,Pos
cn,cz,1,Pos
cn,gh,1,Pos
cn,kw,1,Pos
cn,no,1,Pos
cn,pl,1,Pos
cn,ro,1,Pos
cn,tr,1,Pos
co,pt,1,Pos
cz,jp,1,Pos
de,et,1,Pos
de,hk,1,Pos
de,np,1,Pos
dk,kr,1,Pos
dk,vn,1,Pos
ec,de,1,Pos
eg,ng,1,Pos
es,cn,1,Pos
es,fi,1,Pos
es,il,1,Pos
es,kr,1,Pos
es,mt,1,Pos
es,ng,1,Pos
es,rs,1,Pos
es,sk,1,Pos
es,th,1,Pos
fr,am,1,Pos
fr,cr,1,Pos
fr,lt,1,Pos
fr,np,1,Pos
fr,pe,1,Pos
fr,si,1,Pos
fr,lk,1,Pos
gb,af,1,Pos
gb,at,1,Pos
gb,cr,1,Pos
gb,ec,1,Pos
gb,ly,1,Pos
gb,sy,1,Pos
gr,cn,1,Pos
hk,qa,1,Pos
id,es,1,Pos
ie,th,1,Pos
il,th,1,Pos
in,jp,1,Pos
in,ro,1,Pos
it,dz,1,Pos
it,az,1,Pos
it,kr,1,Pos
it,lv,1,Pos
it,lb,1,Pos
it,my,1,Pos
it,tw,1,Pos
it,tn,1,Pos
jp,no,1,Pos
jp,ch,1,Pos
ke,cn,1,Pos
ma,ch,1,Pos
mx,il,1,Pos
mx,my,1,Pos
mx,th,1,Pos
my,ie,1,Pos
ng,pk,1,Pos
ng,sg,1,Pos
nl,co,1,Pos
nl,cy,1,Pos
nl,ec,1,Pos
nl,gh,1,Pos
nl,hk,1,Pos
nl,id,1,Pos
nl,jo,1,Pos
nl,kz,1,Pos
nl,om,1,Pos
nl,pk,1,Pos
no,my,1,Pos
pe,do,1,Pos
ph,tr,1,Pos
ro,tr,1,Pos
sa,sg,1,Pos
se,lt,1,Pos
se,tw,1,Pos
th,lk,1,Pos
tr,by,1,Pos
tr,lt,1,Pos
us,cu,1,Pos
us,jm,1,Pos
us,md,1,Pos
za,mu,1,Pos
za,mx,1,Pos
za,pk,1,Pos
ae,se,0,Pos
ae,tw,0,Pos
al,tr,0,Pos
am,gb,0,Pos
au,az,0,Pos
au,fi,0,Pos
au,mt,0,Pos
au,sg,0,Pos
be,cn,0,Pos
be,mt,0,Pos
bh,my,0,Pos
bh,om,0,Pos
br,bo,0,Pos
br,cz,0,Pos
br,kr,0,Pos
br,my,0,Pos
br,mt,0,Pos
br,mz,0,Pos
br,no,0,Pos
br,ph,0,Pos
by,cz,0,Pos
ca,bs,0,Pos
ca,fi,0,Pos
ca,gt,0,Pos
ca,sk,0,Pos
ca,tt,0,Pos
ch,kr,0,Pos
cl,se,0,Pos
cn,dz,0,Pos
cn,at,0,Pos
cn,by,0,Pos
cn,be,0,Pos
cn,co,0,Pos
cn,gr,0,Pos
cn,hu,0,Pos
cn,ke,0,Pos
cn,ma,0,Pos
cn,qa,0,Pos
cn,lk,0,Pos
cn,tz,0,Pos
cn,zm,0,Pos
co,cn,0,Pos
co,sv,0,Pos
co,gt,0,Pos
cz,by,0,Pos
cz,pl,0,Pos
de,dz,0,Pos
de,ec,0,Pos
de,ee,0,Pos
de,pa,0,Pos
de,ug,0,Pos
de,uy,0,Pos
dz,tn,0,Pos
es,dz,0,Pos
es,ke,0,Pos
es,ph,0,Pos
es,vn,0,Pos
fi,sg,0,Pos
fr,al,0,Pos
fr,az,0,Pos
fr,cm,0,Pos
fr,cy,0,Pos
fr,fi,0,Pos
fr,ge,0,Pos
fr,is,0,Pos
fr,jo,0,Pos
fr,lv,0,Pos
fr,om,0,Pos
fr,ph,0,Pos
fr,sk,0,Pos
fr,tw,0,Pos
fr,tz,0,Pos
fr,uy,0,Pos
gb,dz,0,Pos
gb,am,0,Pos
gb,ba,0,Pos
gb,kh,0,Pos
gb,cy,0,Pos
gb,do,0,Pos
gb,ee,0,Pos
gb,et,0,Pos
gb,ge,0,Pos
gb,lb,0,Pos
gb,sn,0,Pos
gb,rs,0,Pos
gb,sd,0,Pos
gb,tn,0,Pos
gb,uy,0,Pos
gh,ke,0,Pos
gt,co,0,Pos
hk,jp,0,Pos
hk,mx,0,Pos
hk,se,0,Pos
id,ao,0,Pos
id,kh,0,Pos
id,it,0,Pos
ie,vn,0,Pos
in,al,0,Pos
in,eg,0,Pos
in,jo,0,Pos
in,mw,0,Pos
in,pg,0,Pos
in,sk,0,Pos
in,ua,0,Pos
in,ye,0,Pos
is,fr,0,Pos
it,cr,0,Pos
it,et,0,Pos
it,id,0,Pos
it,sk,0,Pos
it,vn,0,Pos
jp,hk,0,Pos
ke,gh,0,Pos
kh,id,0,Pos
kr,qa,0,Pos
kr,ch,0,Pos
kr,th,0,Pos
mx,bo,0,Pos
mx,fi,0,Pos
mx,hn,0,Pos
mx,hk,0,Pos
mx,jp,0,Pos
mx,kr,0,Pos
mx,pa,0,Pos
mx,uy,0,Pos
my,bh,0,Pos
my,no,0,Pos
ng,eg,0,Pos
nl,al,0,Pos
nl,pa,0,Pos
no,sg,0,Pos
om,bh,0,Pos
pe,bo,0,Pos
pe,ch,0,Pos
ph,es,0,Pos
pl,cz,0,Pos
qa,kr,0,Pos
se,af,0,Pos
se,at,0,Pos
se,cl,0,Pos
se,hk,0,Pos
se,ae,0,Pos
sg,fi,0,Pos
sg,no,0,Pos
th,kr,0,Pos
tn,dz,0,Pos
tr,al,0,Pos
tr,mk,0,Pos
tr,ro,0,Pos
tr,za,0,Pos
us,am,0,Pos
us,by,0,Pos
us,do,0,Pos
us,sv,0,Pos
us,il,0,Pos
us,mk,0,Pos
us,mt,0,Pos
us,np,0,Pos
us,sn,0,Pos
us,tg,0,Pos
us,uz,0,Pos
us,ye,0,Pos
uy,de,0,Pos
vn,ie,0,Pos
za,at,0,Pos
za,kr,0,Pos
za,tr,0,Pos
zm,cn,0,Pos
ae,ao,-1,Neg
ar,at,-1,Neg
ar,be,-1,Neg
at,za,-1,Neg
at,se,-1,Neg
au,ec,-1,Neg
au,jp,-1,Neg
au,kz,-1,Neg
au,lu,-1,Neg
au,mn,-1,Neg
be,cy,-1,Neg
be,ee,-1,Neg
be,lv,-1,Neg
br,al,-1,Neg
br,cn,-1,Neg
br,cr,-1,Neg
br,do,-1,Neg
br,ec,-1,Neg
br,fi,-1,Neg
br,hk,-1,Neg
br,id,-1,Neg
br,lu,-1,Neg
br,qa,-1,Neg
br,sa,-1,Neg
br,za,-1,Neg
br,th,-1,Neg
br,tr,-1,Neg
ca,ao,-1,Neg
ca,bo,-1,Neg
ca,kh,-1,Neg
ca,cl,-1,Neg
ca,cr,-1,Neg
ca,nl,-1,Neg
ca,se,-1,Neg
ch,cr,-1,Neg
ch,jp,-1,Neg
ch,ma,-1,Neg
ch,pe,-1,Neg
ch,qa,-1,Neg
ch,sn,-1,Neg
cn,ao,-1,Neg
cn,kh,-1,Neg
cn,cl,-1,Neg
cn,iq,-1,Neg
cn,il,-1,Neg
cn,lu,-1,Neg
cn,my,-1,Neg
cn,om,-1,Neg
cn,pe,-1,Neg
cn,ph,-1,Neg
cn,pt,-1,Neg
cn,es,-1,Neg
co,bo,-1,Neg
co,nl,-1,Neg
co,ch,-1,Neg
co,ae,-1,Neg
de,kh,-1,Neg
de,na,-1,Neg
de,tz,-1,Neg
dk,at,-1,Neg
dz,de,-1,Neg
ec,cr,-1,Neg
es,cy,-1,Neg
es,ee,-1,Neg
es,id,-1,Neg
es,jo,-1,Neg
es,ma,-1,Neg
es,si,-1,Neg
es,tw,-1,Neg
fr,bh,-1,Neg
fr,bd,-1,Neg
fr,bo,-1,Neg
fr,et,-1,Neg
fr,iq,-1,Neg
fr,kw,-1,Neg
fr,mt,-1,Neg
fr,mm,-1,Neg
gb,bs,-1,Neg
gb,eg,-1,Neg
gb,is,-1,Neg
gb,mn,-1,Neg
gb,om,-1,Neg
gb,pa,-1,Neg
gb,tt,-1,Neg
gb,ps,-1,Neg
gr,al,-1,Neg
id,be,-1,Neg
id,om,-1,Neg
id,ch,-1,Neg
ie,lt,-1,Neg
in,dz,-1,Neg
in,ao,-1,Neg
in,ar,-1,Neg
in,bd,-1,Neg
in,bw,-1,Neg
in,br,-1,Neg
in,kh,-1,Neg
in,cm,-1,Neg
in,cl,-1,Neg
in,co,-1,Neg
in,cd,-1,Neg
in,ci,-1,Neg
in,gr,-1,Neg
in,kz,-1,Neg
in,lt,-1,Neg
in,mu,-1,Neg
in,ma,-1,Neg
in,mz,-1,Neg
in,pk,-1,Neg
in,pt,-1,Neg
in,rw,-1,Neg
in,sd,-1,Neg
it,bd,-1,Neg
it,cy,-1,Neg
it,do,-1,Neg
it,ec,-1,Neg
it,ee,-1,Neg
it,gh,-1,Neg
it,iq,-1,Neg
it,jo,-1,Neg
it,kw,-1,Neg
it,lt,-1,Neg
it,ma,-1,Neg
it,ng,-1,Neg
it,ph,-1,Neg
it,si,-1,Neg
jp,at,-1,Neg
jp,cz,-1,Neg
jp,mx,-1,Neg
mx,ni,-1,Neg
mx,pl,-1,Neg
mx,pt,-1,Neg
mx,za,-1,Neg
ng,bj,-1,Neg
nl,az,-1,Neg
nl,cr,-1,Neg
nl,ee,-1,Neg
nl,ma,-1,Neg
no,jp,-1,Neg
nz,at,-1,Neg
pe,be,-1,Neg
pe,pa,-1,Neg
pe,uy,-1,Neg
ph,fr,-1,Neg
ph,ch,-1,Neg
pk,kw,-1,Neg
pk,nl,-1,Neg
pk,ng,-1,Neg
pk,za,-1,Neg
pk,th,-1,Neg
pl,hu,-1,Neg
sg,au,-1,Neg
sg,ng,-1,Neg
sg,sa,-1,Neg
th,il,-1,Neg
tr,bd,-1,Neg
tr,cn,-1,Neg
tr,kz,-1,Neg
tr,ph,-1,Neg
tw,fr,-1,Neg
tw,ae,-1,Neg
us,al,-1,Neg
us,dz,-1,Neg
us,at,-1,Neg
us,az,-1,Neg
us,bs,-1,Neg
us,bh,-1,Neg
us,bj,-1,Neg
us,bo,-1,Neg
us,ba,-1,Neg
us,bw,-1,Neg
us,bf,-1,Neg
us,cm,-1,Neg
us,ci,-1,Neg
us,cy,-1,Neg
us,ee,-1,Neg
us,fj,-1,Neg
us,fr,-1,Neg
us,ga,-1,Neg
us,ht,-1,Neg
us,hn,-1,Neg
us,is,-1,Neg
us,kz,-1,Neg
us,lv,-1,Neg
us,ly,-1,Neg
us,lt,-1,Neg
us,lu,-1,Neg
us,mg,-1,Neg
us,ml,-1,Neg
us,mu,-1,Neg
us,mn,-1,Neg
us,ni,-1,Neg
us,pt,-1,Neg
us,rw,-1,Neg
us,si,-1,Neg
us,sy,-1,Neg
us,tt,-1,Neg
us,tn,-1,Neg
us,ps,-1,Neg
za,th,-1,Neg
ar,ca,-2,Neg
au,cl,-2,Neg
au,tz,-2,Neg
be,ke,-2,Neg
br,at,-2,Neg
br,py,-2,Neg
br,uy,-2,Neg
ca,bf,-2,Neg
ca,dk,-2,Neg
ca,lu,-2,Neg
cl,dk,-2,Neg
cl,ae,-2,Neg
cn,ar,-2,Neg
cn,az,-2,Neg
cn,eg,-2,Neg
cn,et,-2,Neg
cn,mn,-2,Neg
cn,np,-2,Neg
cn,sa,-2,Neg
cn,ug,-2,Neg
co,cr,-2,Neg
co,uy,-2,Neg
cr,it,-2,Neg
de,af,-2,Neg
de,om,-2,Neg
de,qa,-2,Neg
dk,lu,-2,Neg
ec,nl,-2,Neg
eg,jp,-2,Neg
eg,lb,-2,Neg
eg,my,-2,Neg
es,af,-2,Neg
es,ao,-2,Neg
es,kw,-2,Neg
es,my,-2,Neg
es,om,-2,Neg
fr,cl,-2,Neg
fr,ec,-2,Neg
fr,ee,-2,Neg
fr,ht,-2,Neg
fr,id,-2,Neg
fr,ke,-2,Neg
gb,dk,-2,Neg
gb,jo,-2,Neg
gb,my,-2,Neg
gb,ma,-2,Neg
gb,nz,-2,Neg
gb,pk,-2,Neg
gb,rw,-2,Neg
gb,tw,-2,Neg
gb,uz,-2,Neg
id,af,-2,Neg
id,nl,-2,Neg
id,za,-2,Neg
id,tr,-2,Neg
ie,cl,-2,Neg
ie,my,-2,Neg
il,sg,-2,Neg
il,ch,-2,Neg
in,af,-2,Neg
in,at,-2,Neg
in,et,-2,Neg
in,ge,-2,Neg
in,gh,-2,Neg
in,ir,-2,Neg
in,iq,-2,Neg
in,il,-2,Neg
in,lu,-2,Neg
in,tr,-2,Neg
in,ug,-2,Neg
ir,af,-2,Neg
it,ao,-2,Neg
it,cl,-2,Neg
it,il,-2,Neg
it,za,-2,Neg
kr,dk,-2,Neg
kr,mx,-2,Neg
kr,za,-2,Neg
